timestamp_ms,accX_g,accY_g,accZ_g,gyrX,gyrY,gyrZ,step_count,cadence_spm,peak_impact_g
1784073127160,-0.11273203,1.8822832,-0.54657954,35.420002,44.170002,3.3600001,9,54.0,7.533754
1784073127160,0.0419695,1.790048,-0.029037038,11.34,40.18,-26.32,9,54.0,7.533754
1784073127160,0.100531586,1.9166884,-0.1649499,32.06,29.68,-45.01,9,54.0,7.533754
1784073127160,0.07539869,1.9237648,-0.3335599,18.34,9.94,-47.46,9,54.0,7.533754
1784073127160,0.005124183,1.8835033,-0.29403052,-21.14,-13.440001,-40.11,9,54.0,7.533754
1784073127160,-0.10199564,1.7680871,-0.28451416,-53.760002,-31.15,-27.37,9,54.0,7.533754
1784073127160,-0.12151635,1.5240785,-0.20008714,-63.98,-36.61,-15.68,9,54.0,7.533754
1784073127249,-0.16934206,1.4865011,-0.2918344,-57.12,-34.58,-7.4900002,9,54.0,7.533754
1784073127249,-0.24108061,1.3420479,-0.2662135,-46.48,-34.3,-3.99,9,54.0,7.533754
1784073127249,-0.23424837,1.2493247,-0.2571852,-31.92,-30.380001,-1.19,9,54.0,7.533754
1784073127249,-0.20228322,1.146109,-0.2381525,-16.38,-23.1,0.49,10,60.0,7.533754
1784073127249,-0.16616993,1.0821786,-0.2125316,-6.16,-18.06,2.8700001,10,60.0,7.533754
1784073127249,-0.079058826,1.0116601,-0.26206535,-0.84000003,-24.08,4.76,10,60.0,7.533754
1784073127249,-0.06685839,0.924061,-0.24864487,-5.6,-21.0,8.4,10,60.0,7.533754
1784073127249,0.074666664,0.8493943,-0.21228758,-14.42,-28.35,11.06,10,60.0,7.533754
1784073127297,0.038309366,0.70591724,-0.26548147,-18.2,-33.39,14.49,10,60.0,7.533754
1784073127297,0.081498906,0.64003485,-0.30647492,-28.56,-38.57,17.08,10,60.0,7.533754
1784073127297,0.04782571,0.5307189,-0.3218475,-37.45,-42.49,19.11,10,60.0,7.533754
1784073127297,0.049045753,0.37357733,-0.08711111,-46.48,-41.65,21.210001,10,60.0,7.533754
1784073127297,0.061246186,0.30964705,-0.022204792,-27.02,-46.48,22.47,10,60.0,7.533754
1784073127297,0.106387794,0.24474074,-0.039285403,-5.25,-52.15,24.01,10,60.0,7.533754
1784073127297,0.15006536,0.21350762,-0.048801742,10.43,-58.24,23.17,10,60.0,7.533754
1784073127297,0.2186318,0.2213159,-0.0012200436,-0.84000003,-61.04,20.65,10,60.0,7.533754
1784073127433,0.27572984,0.060758173,0.17153813,-22.26,-63.07,15.33,10,60.0,7.533754
1784073127433,0.31452724,0.040505446,0.13078867,-21.14,-57.47,6.02,10,60.0,7.533754
